location,date,sales
9708,12/1/2017,5371.933333
9708,12/2/2017,6789.4
9708,12/3/2017,2437.08
9708,12/4/2017,1395.7
9708,12/5/2017,2020.3
9708,12/6/2017,2246.533333
9708,12/7/2017,3401.2
9708,12/8/2017,6707.233333
9708,12/9/2017,8816.6
9708,12/10/2017,1850.766667
9708,12/11/2017,1559.98
9708,12/12/2017,2012.78
9708,12/13/2017,2155.913333
9708,12/14/2017,3171.166667
9708,12/15/2017,7074.366667
9708,12/16/2017,7146.693333
9708,12/17/2017,2603.74
9708,12/18/2017,2078.033333
9708,12/19/2017,3396.293333
9708,12/20/2017,3649.146667
9708,12/21/2017,4942.873333
9708,12/22/2017,8467.78
9708,12/23/2017,6773.7
9708,12/24/2017,4375.833333
9708,12/27/2017,3537.48
9708,12/28/2017,4435.613333
9708,12/29/2017,5362.66
9708,12/30/2017,4309.413333
9708,12/31/2017,4974.38
9708,1/1/2018,868.3133333
9708,1/2/2018,1404.7
9708,1/3/2018,1520.886667
9708,1/4/2018,1245.613333
9708,1/5/2018,2293.646667
9708,1/6/2018,4758.76
9708,1/7/2018,1501.54
9708,1/8/2018,905.8
9708,1/9/2018,990.6333333
9708,1/10/2018,1102.013333
9708,1/11/2018,1358.666667
9708,1/12/2018,3182.16
9708,1/13/2018,4674.246667
9708,1/14/2018,1262.013333
9708,1/15/2018,657.3
9708,1/16/2018,1449.433333
9708,1/17/2018,1275.126667
9708,1/18/2018,1220.266667
9708,1/19/2018,2952.366667
9708,1/20/2018,5465.433333
9708,1/21/2018,1632.2
9708,1/22/2018,91.6
9708,1/23/2018,1029.566667
9708,1/24/2018,1257.553333
9708,1/25/2018,1292.366667
9708,1/26/2018,4214.166667
9708,1/27/2018,7671.18
9708,1/28/2018,1820.146667
9708,1/29/2018,1253.366667
9708,1/30/2018,1543.433333
9708,1/31/2018,1261.5
9708,2/1/2018,1464.813333
9708,2/2/2018,3544.553333
9708,2/3/2018,6871.1
9708,2/4/2018,1808.766667
9708,2/5/2018,1218.946667
9708,2/6/2018,1286.98
9708,2/7/2018,1627.7
9708,2/8/2018,1610.333333
9708,2/9/2018,3561.346667
9708,2/10/2018,6200.206667
9708,2/11/2018,1449.046667
9708,2/12/2018,1602.5
9708,2/13/2018,1821.106667
9708,2/14/2018,2448.28
9708,2/15/2018,1903.566667
9708,2/16/2018,3628.493333
9708,2/17/2018,6191.426667
9708,2/18/2018,1639.346667
9708,2/19/2018,969.08
9708,2/20/2018,1366.526667
9708,2/21/2018,1316.48
9708,2/22/2018,1511.04
9708,2/23/2018,3390.6
9708,2/24/2018,6928.966667
9708,2/25/2018,1682.846667
9708,2/26/2018,832.8
9708,2/27/2018,1168.166667
9708,2/28/2018,828.7066667
9708,3/1/2018,853.86
9708,3/2/2018,2013.526667
9708,3/3/2018,4837.46
9708,3/4/2018,1596.126667
9708,3/5/2018,1121.48
9708,3/6/2018,1315.133333
9708,3/7/2018,1346.066667
9708,3/8/2018,1463.666667
9708,3/9/2018,3166.313333
9708,3/10/2018,6620.533333
9708,3/11/2018,2526.973333
9708,3/12/2018,867.5266667
9708,3/13/2018,1215.313333
9708,3/14/2018,1454.713333
9708,3/15/2018,1624.233333
9708,3/16/2018,3712.4
9708,3/17/2018,4655.413333
9708,3/18/2018,1099.8
9708,3/19/2018,938.86
9708,3/20/2018,1238.326667
9708,3/21/2018,1598.293333
9708,3/22/2018,1469.866667
9708,3/23/2018,3583.58
9708,3/24/2018,6557.06
9708,3/25/2018,1656.4
9708,3/26/2018,1211.226667
9708,3/27/2018,1363.88
9708,3/28/2018,2639.666667
9708,3/29/2018,4266.626667
9708,3/30/2018,5522.666667
9708,3/31/2018,5780.646667
9708,4/1/2018,2096.58
9708,4/2/2018,2596.033333
9708,4/3/2018,1778.246667
9708,4/4/2018,1715.6
9708,4/5/2018,2277.326667
9708,4/6/2018,3760.946667
9708,4/7/2018,6153.7
9708,4/8/2018,1214.233333
9708,4/9/2018,1594.673333
9708,4/10/2018,1589.44
9708,4/11/2018,1875.866667
9708,4/12/2018,1766.38
9708,4/13/2018,3525.746667
9708,4/14/2018,5749.24
9708,4/15/2018,2045.546667
9708,4/16/2018,1022.1
9708,4/17/2018,1496.16
9708,4/18/2018,1756.48
9708,4/19/2018,2915.213333
9708,4/20/2018,4141.046667
9708,4/21/2018,6559.68
9708,4/22/2018,2157.433333
9708,4/23/2018,948.0133333
9708,4/24/2018,815.88
9708,4/25/2018,1616.633333
9708,4/26/2018,1847.7
9708,4/27/2018,3886.726667
9708,4/28/2018,7158.173333
9708,4/29/2018,1751.953333
9708,4/30/2018,1490.333333
9708,5/1/2018,1605.126667
9708,5/2/2018,1317.34
9708,5/3/2018,2285.733333
9708,5/4/2018,4291.6
9708,5/5/2018,5660.013333
9708,5/6/2018,3370.146667
9708,5/7/2018,2151.18
9708,5/8/2018,1604.726667
9708,5/9/2018,1275.08
9708,5/10/2018,1332.9
9708,5/11/2018,3754.18
9708,5/12/2018,5558.146667
9708,5/13/2018,2056.2
9708,5/14/2018,1387.566667
9708,5/15/2018,2092.246667
9708,5/16/2018,1365.9
9708,5/17/2018,1563.133333
9708,5/18/2018,3561.893333
9708,5/19/2018,5572.186667
9708,5/20/2018,2190.48
9708,5/21/2018,1279.26
9708,5/22/2018,1808.366667
9708,5/23/2018,1341.18
9708,5/24/2018,1905.3
9708,5/25/2018,4387.566667
9708,5/26/2018,5448.14
9708,5/27/2018,4194.4
9708,5/28/2018,2147.133333
9708,5/29/2018,1508.733333
9708,5/30/2018,1925.706667
9708,5/31/2018,2518.98
9708,6/1/2018,4593.713333
9708,6/2/2018,6873.133333
9708,6/3/2018,2569.993333
9708,6/4/2018,1378.34
9708,6/5/2018,1609.013333
9708,6/6/2018,1371.6
9708,6/7/2018,1574.466667
9708,6/8/2018,3286.866667
9708,6/9/2018,5621.646667
9708,6/10/2018,2510.613333
9708,6/12/2018,1343.633333
9708,6/13/2018,1726.113333
9708,6/14/2018,1735.026667
9708,6/15/2018,3451.513333
9708,6/16/2018,6052.76
9708,6/17/2018,2435.76
9708,6/18/2018,1490.94
9708,6/19/2018,1676.253333
9708,6/20/2018,2043.833333
9708,6/21/2018,1872.993333
9708,6/22/2018,4243.8
9708,6/23/2018,5496.4
9708,6/24/2018,2349.213333
9708,6/25/2018,1891.013333
9708,6/26/2018,1973.366667
9708,6/27/2018,2393.366667
9708,6/28/2018,2135.06
9708,6/29/2018,4542.88
9708,6/30/2018,7029.666667
9708,7/1/2018,2726.846667
9708,7/2/2018,1694.246667
9708,7/3/2018,1649.1
9708,7/4/2018,2343.546667
9708,7/5/2018,2635.433333
9708,7/6/2018,3814.5
9708,7/7/2018,5251.413333
9708,7/8/2018,2778.96
9708,7/9/2018,1570.66
9708,7/10/2018,1430.58
9708,7/11/2018,1709.746667
9708,7/12/2018,2642.8
9708,7/13/2018,4466.466667
9708,7/14/2018,6822.62
9708,7/15/2018,1973.233333
9708,7/16/2018,1869.526667
9708,7/17/2018,1919.86
9708,7/18/2018,1863.68
9708,7/19/2018,2521.766667
9708,7/20/2018,5581.28
9708,7/21/2018,6607.953333
9708,7/22/2018,2452.38
9708,7/23/2018,2309.713333
9708,7/24/2018,2848.466667
9708,7/25/2018,2588.013333
9708,7/26/2018,3062.146667
9708,7/27/2018,5251.3
9708,7/28/2018,7302.133333
9708,7/29/2018,2424.1
9708,7/30/2018,2014.073333
9708,7/31/2018,2691.046667
9708,8/1/2018,3184.873333
9708,8/2/2018,2923.46
9708,8/3/2018,4734.826667
9708,8/4/2018,6892.58
9708,8/5/2018,3159.946667
9708,8/6/2018,1927.9
9708,8/7/2018,2436.313333
9708,8/8/2018,2782.993333
9708,8/9/2018,2293.373333
9708,8/10/2018,3998.746667
9708,8/11/2018,6036.713333
9708,8/12/2018,2658.966667
9708,8/13/2018,1435.2
9708,8/14/2018,2661.06
9708,8/15/2018,2825.046667
9708,8/16/2018,2678.233333
9708,8/17/2018,4277.526667
9708,8/18/2018,5785.053333
9708,8/19/2018,2196.6
9708,8/20/2018,1936.813333
9708,8/21/2018,2628.433333
9708,8/22/2018,2049.533333
9708,8/23/2018,3338.533333
9708,8/24/2018,5218.933333
9708,8/25/2018,7660.6
9708,8/26/2018,3518.613333
9708,8/27/2018,2576.3
9708,8/28/2018,2093.933333
9708,8/29/2018,2276.933333
9708,8/30/2018,2605.766667
9708,8/31/2018,5364.033333
9708,9/1/2018,7524.113333
9708,9/2/2018,2320.6
9708,9/3/2018,1995.766667
9708,9/4/2018,1745.36
9708,9/5/2018,2053.066667
9708,9/6/2018,2301.166667
9708,9/7/2018,4253.566667
9708,9/8/2018,6334.866667
9708,9/9/2018,2575.933333
9708,9/10/2018,1735.813333
9708,9/11/2018,1770.3
9708,9/12/2018,1498.546667
9708,9/13/2018,2576.8
9708,9/14/2018,3929.166667
9708,9/15/2018,7351.046667
9708,9/16/2018,2248.6
9708,9/17/2018,1315.333333
9708,9/18/2018,662.6666667
9708,9/19/2018,1401.133333
9708,9/20/2018,-5.133333333
9708,9/21/2018,3366.98
9708,9/22/2018,5102.3
9708,9/23/2018,1938.733333
9708,9/24/2018,1059.5
9708,9/25/2018,1760.666667
9708,9/26/2018,1828.566667
9708,9/27/2018,2082.933333
9708,9/28/2018,4554.9
9708,9/29/2018,7610.933333
9708,9/30/2018,2725.746667
9708,10/1/2018,1400.513333
9708,10/2/2018,2028.046667
9708,10/3/2018,1604.9
9708,10/4/2018,2028.546667
9708,10/5/2018,4682.88
9708,10/6/2018,7128.9
9708,10/7/2018,2446.84
9708,10/8/2018,1549.506667
9708,10/9/2018,1969.766667
9708,10/10/2018,3745.466667
9708,10/11/2018,2038.1
9708,10/12/2018,4289.833333
9708,10/13/2018,6623.7
9708,10/14/2018,2766.9
9708,10/15/2018,1372.833333
9708,10/16/2018,1603.566667
9708,10/17/2018,2589.946667
9708,10/18/2018,1757.933333
9708,10/19/2018,5107.833333
9708,10/20/2018,6418.133333
9708,10/21/2018,2292.266667
9708,10/22/2018,1932.066667
9708,10/23/2018,2283.813333
9708,10/24/2018,1853.4
9708,10/25/2018,2716.933333
9708,10/26/2018,5018.166667
9708,10/27/2018,6971.466667
9708,10/28/2018,2200.113333
9708,10/29/2018,1521.633333
9708,10/30/2018,1700.546667
9708,10/31/2018,1671.733333
9708,11/1/2018,2495.066667
9708,11/2/2018,4012.713333
9708,11/3/2018,6423.733333
9708,11/4/2018,2378.746667
9708,11/5/2018,1532.78
9708,11/6/2018,1658.366667
9708,11/7/2018,1693.733333
9708,11/8/2018,1927.78
9708,11/9/2018,4013.513333
9708,11/10/2018,6677.28
9708,11/11/2018,2450.866667
9708,11/12/2018,1346.5
9708,11/13/2018,2026.046667
9708,11/14/2018,2776
9708,11/15/2018,1910.4
9708,11/16/2018,5507.1
9708,11/17/2018,6344.766667
9708,11/18/2018,2301.1
9708,11/19/2018,1450.5
9708,11/20/2018,1604.98
9708,11/21/2018,2148.833333
9708,11/22/2018,1848.166667
9708,11/23/2018,4336.466667
9708,11/24/2018,6511.433333
9708,11/25/2018,1953.986667
9708,11/26/2018,1264.566667
9708,11/27/2018,1642.013333
9708,11/28/2018,1955.233333
9708,11/29/2018,1835.033333
9708,11/30/2018,5342.333333
9708,12/1/2018,7933.26
9708,12/2/2018,2464.533333
9708,12/3/2018,1864.266667
9708,12/4/2018,1681.026667
9708,12/5/2018,1422.493333
9708,12/6/2018,3402.6
9708,12/7/2018,5595.8
9708,12/8/2018,8262.1
9708,12/9/2018,2603.966667
9708,12/10/2018,2192.226667
9708,12/11/2018,2641.18
9708,12/12/2018,2749.4
9708,12/13/2018,3701.173333
9708,12/14/2018,7401.266667
9708,12/15/2018,8111.133333
9708,12/16/2018,3347.48
9708,12/17/2018,2330.233333
9708,12/18/2018,0
9708,12/19/2018,3752.046667
9708,12/20/2018,6120.046667
9708,12/21/2018,8887.813333
9708,12/22/2018,7915.18
9708,12/23/2018,4765.646667
9708,12/24/2018,5404.466667
9708,12/27/2018,4468.166667
9708,12/28/2018,5159.8
9708,12/29/2018,5538.06
9708,12/30/2018,3177.366667
9708,12/31/2018,5293.493333
9708,1/1/2019,1394.533333
9708,1/2/2019,2018.433333
9708,1/3/2019,1330.1
9708,1/4/2019,2904.453333
9708,1/5/2019,4517.633333
9708,1/6/2019,1832.066667
9708,1/7/2019,953.6466667
9708,1/8/2019,1562.733333
9708,1/9/2019,1338.733333
9708,1/10/2019,1250.9
9708,1/11/2019,2955.533333
9708,1/12/2019,5500.413333
9708,1/13/2019,1525.366667
9708,1/14/2019,944.2333333
9708,1/15/2019,1836.333333
9708,1/16/2019,1653.48
9708,1/17/2019,1653.466667
9708,1/18/2019,2858.18
9708,1/19/2019,5910.693333
9708,1/20/2019,2304.933333
9708,1/21/2019,1098.48
9708,1/22/2019,1399.733333
9708,1/23/2019,1163.466667
9708,1/24/2019,1318.966667
9708,1/25/2019,3763.8
9708,1/26/2019,7921.953333
9708,1/27/2019,2120.526667
9708,1/28/2019,1218.393333
9708,1/29/2019,1324.933333
9708,1/30/2019,1265.113333
9708,1/31/2019,1782.346667
9708,2/1/2019,4164.3
9708,2/2/2019,6697.746667
9708,2/3/2019,2320.866667
9708,2/4/2019,1369.02
9708,2/5/2019,1698.133333
9708,2/6/2019,1516.733333
9708,2/7/2019,1516.766667
9708,2/8/2019,3377.866667
9708,2/9/2019,5881.513333
9708,2/10/2019,1575.86
9708,2/11/2019,1297.18
9708,2/12/2019,1744.846667
9708,2/13/2019,1789.18
9708,2/14/2019,2034.433333
9708,2/15/2019,3959.533333
9708,2/16/2019,6108.533333
9708,2/17/2019,2110.58
9708,2/18/2019,1769.066667
9708,2/19/2019,1949.966667
9708,2/20/2019,1719.013333
9708,2/21/2019,2575.126667
9708,2/22/2019,4635.48
9708,2/23/2019,6060.08
9708,2/24/2019,2095.78
9708,2/25/2019,1209.793333
9708,2/26/2019,1628.566667
9708,2/27/2019,1956.16
9708,2/28/2019,1799.46
